id,texto,classe
1,Nomeação de servidor,RH
2,Contratação de empresa,Licitacao
3,Decreto municipal,Decreto
4,Nomeação de servidor,RH
5,Contratação de empresa,Licitacao
6,Decreto municipal,Decreto
7,Nomeação de servidor,RH
8,Contratação de empresa,Licitacao
9,Decreto municipal,Decreto
10,Nomeação de servidor,RH
11,Contratação de empresa,Licitacao
12,Decreto municipal,Decreto
13,Nomeação de servidor,RH
14,Contratação de empresa,Licitacao
15,Decreto municipal,Decreto
16,Nomeação de servidor,RH
17,Contratação de empresa,Licitacao
18,Decreto municipal,Decreto
19,Nomeação de servidor,RH
20,Contratação de empresa,Licitacao
21,Decreto municipal,Decreto
22,Nomeação de servidor,RH
23,Contratação de empresa,Licitacao
24,Decreto municipal,Decreto
25,Nomeação de servidor,RH
26,Contratação de empresa,Licitacao
27,Decreto municipal,Decreto
28,Nomeação de servidor,RH
29,Contratação de empresa,Licitacao
30,Decreto municipal,Decreto
31,Nomeação de servidor,RH
32,Contratação de empresa,Licitacao
33,Decreto municipal,Decreto
34,Nomeação de servidor,RH
35,Contratação de empresa,Licitacao
36,Decreto municipal,Decreto
37,Nomeação de servidor,RH
38,Contratação de empresa,Licitacao
39,Decreto municipal,Decreto
40,Nomeação de servidor,RH
