id,texto
1,3456 - Institui lei anti-pichação e cria programa de combate
2,3457 - Institui política de transparencia da infraestrutura escolar
3,3458 - Autoriza o poder executivo desembolsar valores para custeio 68 jogos regionais Santana do Parnaíba
4,3452 - Regulamentação do artigo 1358 - parcelamento de solo - condomínio de lotes - Vila Propheta
5,3453 - Autoriza o poder executivo desafetar e doar bens imóveis para fins exclusivos de implantação de empreendimentos habitacionais
6,3454 - Dispõe sobre as diretrizes Orçamentárias - LDO
7,3455 - Dispõe sobre abertura de crédito 100.000 semads
8,3450 - autoriza poder executivo desafetar e efetuar alienação do imóvel matrícula 14.978 e 90.858 e 90.859
9,3447 - autoriza sepultamento de cães e gatos em jazigos de tutores ou familiares
10,3451 - Altera Lei 3207-2025 - Associação Nacional do CAvalo de Rédeas ANCR
11,3448 - implantação de espaços sensoriais em praças públicas TEA
12,3449 - áreas destinadas às pessoas com deficiência PCD e TEA
13,3442 - inclui área matrícula 88.151 no perímetro urbano
14,3446 - abertura de crédito 681.800 - secretaria de planejamento
15,3443 - abertura de crédito 180 mil - saúde
16,401 - dispõe sobre autorização para realizar alienação doação de imóvel para associação Residencial Terras Altas
17,3440 - dispõe sobre programa de incentivo a denúncia de infrações ambientais urbanas
18,3444 - abertura de crédito 51.905 - secretaria da saúde
19,3441 - dispõe sobre autorização para realizar alienação doação de imóvel para associação Residencial Terras Altas
20,3445 - abertura de crédito 150.253 - secretaria de serviços
21,3439 - revisão das aliquotas adicionais - contribuição previdenciária  - déficit atuarial
22,3432 - institui programa semana saúde nos bairros
23,3436 - estabelece o índice para revisão geral anual com recomposição de poder de compra da remuneração da Câmara de Vereadores
24,3433 - realização de palestras - combate a pedofilia
25,3437 - abertura de crédito adicional suplementar 100.000 semads
26,3434 - programa de fornecimento complementar de medicamentos
27,3438 - abertura de crédito adicional suplementar 141.892 semads
28,3431 - criação de salas sensoriais alunos autistas e neuroatípicos
29,3435 - autoriza alienação de por meio de doação de imóvel À Fazenda do Estado SP
30,3430 - abertura de crédito adicional especial 21.538 semads
31,"3427 - institui campanha permanente vaga especial não é privilégio, é direito"
32,3424 - conversão de penalidade de multa em advertência doação de sangue
33,3428 - institui programa de incentivo a corrida de rua
34,3425 - inclusão de QR Code informativo nas placas de vias com biografia do homenageado
35,3429 - abertura de crédito adicional especial 105.819 saúde
36,3426 - institui no calendário Semana do EScoteiro
37,3423 - institui dia da Marcha para Jesus
38,3420 - autoriza desafetar área  - futura doação matrícula 96.596 - Golf Country
39,3421 - abertura crédito adicional especial - educação 97.512
40,3422 - declara e reconhece a Marcha para Jesus - patrimônio Cultural de natureza imaterial
41,3419 - crédito adicional especial - meio ambiente 1.311.383
42,400 - Dispõe sobre alteração do artigo 45 da LC 126-2010
43,3416 - Programa Gincana Estudantil de Avaré
44,3417 - Institui e inclui Semana da Criatividadee Inovação
45,3418 - crédito adicional especial - semads 248.366
46,3411 - abertura de crédito - semads 5.533
47,3404 - abertura de crédito - semads 2.736
48,3415 - abertura de crédito - educação 767.701
49,3408 - abertura de crédito - semads 851
50,3412 - abertura de crédito - semads 3.259
51,3405 - abertura de crédito - semads 2.033
52,3409 - abertura de crédito - semads 3.778
53,3413 - abertura de crédito - semads 1.785
54,3406 - abertura de crédito - semads 1.128
55,3410 - abertura de crédito - semads 5.299
56,3403 - abertura de crédito - semads 4.500
57,3414 - abertura de crédito - educação 274.019
58,3407 - abertura de crédito - semads 1.713
59,3396 - abertura de crédito - semads 67.532
60,3389 - abertura de crédito - semads 31.418
61,3400 - abertura de crédito - saude 4.304.909
62,3393 - abertura de crédito - semads 32.821
63,3397 - abertura de crédito - semads 17.466
64,3390 - abertura de crédito - semads 31.707
65,3401 - abertura de crédito - saude 2.019.091
66,3394 - abertura de crédito - semads 32.424
67,3387 - abertura de crédito - agricultura e abastecimento 101.014
68,3398 - abertura de crédito - semads 9.029
69,3391 - abertura de crédito - semads 10.264
70,3402 - abertura de crédito - saude 1.106.878
71,3395 - abertura de crédito - semads 24.000
72,3388 - abertura de crédito - semads 36.670
73,3399 - abertura de crédito - semads 65.248
74,3392 - abertura de crédito - semads 35.242
75,3386 - autoriza o poder executivo receber bens imóveis em doação - Jardim Esmeralda
76,399 - Concessão de Isenção taxa de alvará corridas de rua
77,3385 - abertura de crédito - saúde - 6.076.834
78,3378 - abertura de crédito - saúde 3.221.086
79,3382 - abertura de crédito - semads 124.959
80,3375 - ANEXO I - 1442-SMA-01-SA-RT-3055-R5
81,3379 - abertura de crédito - agricultura 24.815
82,3383 - abertura de crédito - saúde - 4.575.476
83,3376 - abertura de crédito - educação 177.518
84,3375 - Institui o Plano Municipal Saneamento Básico
85,3380 - abertura de crédito - semads 210.681
86,3384 - abertura de crédito - saúde - 598.027
87,3377 - abertura de crédito - semads 601.787
88,3381 - abertura de crédito - semads 116.655
89,3373 - Estabelece símbolo mundial TEA nos uniformes da rede municipal
90,3374 - Cria Programa Avaré Hidrata
91,3372 - Institui Cadastro de doadores de sangue
92,3371 - Crédito adicional - educação fundeb 131.000
93,"3370 - Crédito adicional - educação 87,50"
94,3364 - Reorganiza e reestrutura DESS - assinado
95,3366 - Autoriza contratação de serviços médicos especializados e exames complementares - assinado
96,3364 - ANEXOS
97,3369 - Crédito adicional - educação 2.259.945 - assinado
98,3366 - ANEXOS - contratação de serviços médicos especializados e exames complementares
99,398 - Concessão de isenção de taxa de alvará - lojas maçônicas - assinado
100,3368 - Crédito adicional - planejamento e obras - 4.510 - assinado
101,3365 - Crédito Adicional - planejamento e obras 65.366 - assinado
102,397 - Institui REFIS 2026 - assinado
103,3367 - Crédito adicional - gabinete bombeiros - 1.380.636 - assinado
104,3363 - Implantação de código QR code em placas de obras públicas para leitura e fiscalização eletronica
105,3362 - Difusão do Alfabeto Manual em Libras
106,3360 - fixa subsidio prefeito e vice-prefeito 2029
107,393 - alteração lei complementar 344-2025
108,3361 - abertura de crédito adicional suplementar - FREA
109,394 - alteração lei complementar 367-2025
110,391 - alteração do artigo 21 da lei complementar 96-2009
111,"396 - ANEXOS -  Reestruturação do plano de cargos carreira e remuneração , cria e redenomina cargos AVAREPREV"
112,395 - alteração do anexo III da lei complementar 126-2025
113,392 - alteração lei complementar 366-2025
114,"396 - reestrutura plano de cargos carreira e remuneração , cria e redenomina cargos - AVAREPREV"
115,389 - alteração do caput do artigo da lei complementar 313 - gratificação auxiliar contábil
116,3358 - abertura de crédito especial 100.000 - SEMADS
117,"390 - estruturação , composição Comite investimentos AVAREPREV"
118,3359 - abertura de crédito especial CAMARA 42.000
119,388 - dispõe sobre ITBI
120,3357 - dispõe sobre abertura de crédito adicional especial planejamento e obras 500.000
121,3354 - estima receita e fixa despesa para o exercício de 2026
122,3355 - autoriza procuradoria geral não ajuizar ações de pequeno valor
123,386 - dispõe sobre alteração dos dispositivos da lei complementar 276-2022 - AVAREPREV
124,3356 - dispõe sobre instituição e política de justiça restaurativa
125,387 - dispõe sobre alteração do parágrafo 2 do artigo 108 da lei complementar 150 - conselheiros tutelares
126,3353 - institui Semana de conscientização não te julgo - te ajudo
127,3350 - institui política de diagnóstico tardio transtorno espectro autista TEA
128,3347 - abertura de crédito adicional especial 59.826 - agricultura
129,3351 - institui política de valorização e promoção da capoeira
130,3348 - abertura de crédito adicional especial 5.531 - agricultura
131,3352 - institui dia do plantio nas escolas
132,3349 - institui política de prevenção e enfrentamento atentados violentos escolas municipais
133,3345 - abertura de crédito adicional especial 76.734 - saude
134,3342 - abertura de crédito adicional especial 12.563 - saude
135,3346 - abertura de crédito adicional especial 11.400 - semads
136,3339 - prorrogação vigência plano municipal de educação - lei 1921-2015
137,3343 - abertura de crédito suplementar 3.188.814 educação
138,3340 - abertura de crédito adicional especial 300.00 semads
139,3344 - abertura de crédito adicional especial 1.118.743 - saude
140,3341 - altera redação do artigo 2 e 4 da lei 929-2007 - fundeb
141,3336 - abertura de crédito adicional suplementar - 290.508 - educação
142,3337 - abertura de crédito adicional suplementar - 185.000 - FREA
143,3334 - abertura de crédito adicional especial 45.562 - transportes
144,3338 - abertura de crédito adicional especial - 4.050.000 - Saúde
145,3335 - autoriza poder executivo efetuar adiantamento Comissão de Apoio Delegações Esportivas 87 Jogos Abertos
146,3332 - Autoriza doar bem imóvel - SENAR
147,3329 - Proibição da produção de Spathodea
148,3333 - Alteração da Lei 2312 de 2029
149,3330 - Institui Programa Cultura nos bairros
150,385 - Redenomina guarda civil para guarda civil de vigilância
151,3331 - Institui Fundo de proteção e defesa civil - FUMDEC
152,3328 - Institui Programa Empresa Amiga da Escola
153,3327 - Revogação da Lei 2435-2021 - que limita consultas
154,3324 - Autoriza parcerias adoção de espaços públicos
155,3321 - Dispõe sobre abertura crédito adicional - 67.282 - saúde
156,"3325 - Institui Junho Violeta concientização , enfrentamento e prevenção da violência contra pessoa idosa"
157,3322 - Institui Orçamento Cidadão
158,3326 - Institui Semana e dia Pessoa Idosa
159,3323 - Institui Programa Adote Muro da Escola Pública
160,3316 - Altera artigo 7 da Lei 2152-2017 que estabelece diretrizes realização de eventos esportivos
161,3320 - Institui e inclui Calendário - dia de prevenção da asfixia perinatal - setembro verde esperança
162,3313 - Dispõe sobre regularização de construções e dá prazo para concessão
163,3317 - Dispõe sobre prevenção combate e punição sexualização e adultização de crianças
164,3314 - Dispõe sobre abertura crédito adicional suplementar - saude 98.512
165,3318 - Dispõe proibição da utilização de recursos públicos e de espaçoes municipais  - apologia ao crime
166,3315 - Dispõe sobre abertura crédito adicional especial - saude 13.676
167,3319 - Institui o programa TRANSFORMARTE oficinas culturais
168,3312 - Dispõe sobre concessão de uso ao Núcleo de Criadores de Nelore de Avaré e Região
169,3308 - Institui Semana da Orientação profissional para o primeiro emprego escolas públicas municipais
170,3309 - Institui Semana da Música e da Cultura Caipira em homenagem Sr CArlos Domingos Alonso
171,384 - Revoga Lei 153-2011 - redenomina guarda civil
172,3310 - Institui Projeto Banco Vermelho que visa conscientizar contra violência doméstica familiar
