titulo,data,edicao,ano,tipo
3456 - Institui lei anti-pichação e cria programa de combate,03/06/2026,2750,10,Lei
3457 - Institui política de transparencia da infraestrutura escolar,03/06/2026,2750,10,Lei
3458 - Autoriza o poder executivo desembolsar valores para custeio 68 jogos regionais Santana do Parnaíba,03/06/2026,2750,10,Lei
3452 - Regulamentação do artigo 1358 - parcelamento de solo - condomínio de lotes - Vila Propheta,27/05/2026,2742,10,Lei
3453 - Autoriza o poder executivo desafetar e doar bens imóveis para fins exclusivos de implantação de empreendimentos habitacionais,27/05/2026,2742,10,Lei
3454 - Dispõe sobre as diretrizes Orçamentárias - LDO,27/05/2026,2742,10,Lei
3455 - Dispõe sobre abertura de crédito 100.000 semads,27/05/2026,2742,10,Lei
3450 - autoriza poder executivo desafetar e efetuar alienação do imóvel matrícula 14.978 e 90.858 e 90.859,19/05/2026,2736,10,Lei
3447 - autoriza sepultamento de cães e gatos em jazigos de tutores ou familiares,19/05/2026,2736,10,Lei
3451 - Altera Lei 3207-2025 - Associação Nacional do CAvalo de Rédeas ANCR,19/05/2026,2736,10,Lei
3448 - implantação de espaços sensoriais em praças públicas TEA,19/05/2026,2736,10,Lei
3449 - áreas destinadas às pessoas com deficiência PCD e TEA,19/05/2026,2736,10,Lei
3442 - inclui área matrícula 88.151 no perímetro urbano,14/05/2026,2733,10,Lei
3446 - abertura de crédito 681.800 - secretaria de planejamento,14/05/2026,2733,10,Lei
3443 - abertura de crédito 180 mil - saúde,14/05/2026,2733,10,Lei
401 - dispõe sobre autorização para realizar alienação doação de imóvel para associação Residencial Terras Altas,14/05/2026,2733,10,Lei
3440 - dispõe sobre programa de incentivo a denúncia de infrações ambientais urbanas,14/05/2026,2733,10,Lei
3444 - abertura de crédito 51.905 - secretaria da saúde,14/05/2026,2733,10,Lei
3441 - dispõe sobre autorização para realizar alienação doação de imóvel para associação Residencial Terras Altas,14/05/2026,2733,10,Lei
3445 - abertura de crédito 150.253 - secretaria de serviços,14/05/2026,2733,10,Lei
3439 - revisão das aliquotas adicionais - contribuição previdenciária  - déficit atuarial,08/05/2026,2727,10,Lei
3432 - institui programa semana saúde nos bairros,08/05/2026,2727,10,Lei
3436 - estabelece o índice para revisão geral anual com recomposição de poder de compra da remuneração da Câmara de Vereadores,08/05/2026,2727,10,Lei
3433 - realização de palestras - combate a pedofilia,08/05/2026,2727,10,Lei
3437 - abertura de crédito adicional suplementar 100.000 semads,08/05/2026,2727,10,Lei
3434 - programa de fornecimento complementar de medicamentos,08/05/2026,2727,10,Lei
3438 - abertura de crédito adicional suplementar 141.892 semads,08/05/2026,2727,10,Lei
3431 - criação de salas sensoriais alunos autistas e neuroatípicos,08/05/2026,2727,10,Lei
3435 - autoriza alienação de por meio de doação de imóvel À Fazenda do Estado SP,08/05/2026,2727,10,Lei
3430 - abertura de crédito adicional especial 21.538 semads,04/05/2026,2724,10,Lei
"3427 - institui campanha permanente vaga especial não é privilégio, é direito",04/05/2026,2724,10,Lei
3424 - conversão de penalidade de multa em advertência doação de sangue,04/05/2026,2724,10,Lei
3428 - institui programa de incentivo a corrida de rua,04/05/2026,2724,10,Lei
3425 - inclusão de QR Code informativo nas placas de vias com biografia do homenageado,04/05/2026,2724,10,Lei
3429 - abertura de crédito adicional especial 105.819 saúde,04/05/2026,2724,10,Lei
3426 - institui no calendário Semana do EScoteiro,04/05/2026,2724,10,Lei
3423 - institui dia da Marcha para Jesus,15/04/2026,2710,10,Lei
3420 - autoriza desafetar área  - futura doação matrícula 96.596 - Golf Country,15/04/2026,2710,10,Lei
3421 - abertura crédito adicional especial - educação 97.512,15/04/2026,2710,10,Lei
3422 - declara e reconhece a Marcha para Jesus - patrimônio Cultural de natureza imaterial,15/04/2026,2710,10,Lei
3419 - crédito adicional especial - meio ambiente 1.311.383,07/04/2026,2703,10,Lei
400 - Dispõe sobre alteração do artigo 45 da LC 126-2010,07/04/2026,2703,10,Lei
3416 - Programa Gincana Estudantil de Avaré,01/04/2026,2699,10,Lei
3417 - Institui e inclui Semana da Criatividadee Inovação,01/04/2026,2699,10,Lei
3418 - crédito adicional especial - semads 248.366,01/04/2026,2699,10,Lei
3411 - abertura de crédito - semads 5.533,24/03/2026,2692,10,Lei
3404 - abertura de crédito - semads 2.736,24/03/2026,2692,10,Lei
3415 - abertura de crédito - educação 767.701,24/03/2026,2692,10,Lei
3408 - abertura de crédito - semads 851,24/03/2026,2692,10,Lei
3412 - abertura de crédito - semads 3.259,24/03/2026,2692,10,Lei
3405 - abertura de crédito - semads 2.033,24/03/2026,2692,10,Lei
3409 - abertura de crédito - semads 3.778,24/03/2026,2692,10,Lei
3413 - abertura de crédito - semads 1.785,24/03/2026,2692,10,Lei
3406 - abertura de crédito - semads 1.128,24/03/2026,2692,10,Lei
3410 - abertura de crédito - semads 5.299,24/03/2026,2692,10,Lei
3403 - abertura de crédito - semads 4.500,24/03/2026,2692,10,Lei
3414 - abertura de crédito - educação 274.019,24/03/2026,2692,10,Lei
3407 - abertura de crédito - semads 1.713,24/03/2026,2692,10,Lei
3396 - abertura de crédito - semads 67.532,19/03/2026,2689,10,Lei
3389 - abertura de crédito - semads 31.418,19/03/2026,2689,10,Lei
3400 - abertura de crédito - saude 4.304.909,19/03/2026,2689,10,Lei
3393 - abertura de crédito - semads 32.821,19/03/2026,2689,10,Lei
3397 - abertura de crédito - semads 17.466,19/03/2026,2689,10,Lei
3390 - abertura de crédito - semads 31.707,19/03/2026,2689,10,Lei
3401 - abertura de crédito - saude 2.019.091,19/03/2026,2689,10,Lei
3394 - abertura de crédito - semads 32.424,19/03/2026,2689,10,Lei
